species,larval,postlarval,juvenile.adult,total_farmed_d
vannamei,3.725249601,15.46100176,59.77196832,113.7610034
vannamei,0.427221242,10.5470019,102.8166883,157.4876041
vannamei,2.459313256,20.57635602,90.58924959,155.6155801
vannamei,0.62173277,16.54781351,96.24054339,129.2200833
vannamei,0.830335602,18.05100504,65.37668345,117.052916
vannamei,1.619083652,15.21680204,63.14523271,106.7925705
vannamei,9.153696258,12.77453135,87.57762564,128.9523946
vannamei,5.291026819,17.03197224,51.58318724,133.6346386
vannamei,17.9893504,13.30257997,56.84151935,167.2948125
vannamei,1.183879583,13.51029378,104.5896836,176.3451154
vannamei,2.253118297,11.24527241,94.22311988,150.0637576
vannamei,3.911635054,13.70155566,83.48227873,133.2562321
vannamei,3.069725301,11.94937547,101.0619635,120.4130867
vannamei,1.506361646,18.03225157,94.91043502,167.9874988
