species,larval,postlarval,juvenile.adult,total_farmed_d
monodon,4.283993692,18.98587324,47.20742432,205.109235
monodon,1.236883613,17.60266739,74.7227327,189.2844623
monodon,11.21256842,10.18201375,135.7588718,169.8222303
monodon,2.258845445,10.8769909,87.51028754,187.191225
monodon,2.240880025,22.50954447,36.10248125,173.0170784
monodon,2.701923147,16.91697586,122.1185501,209.7022194
monodon,3.820526116,15.39964899,94.88259065,171.398361
monodon,2.020651679,16.95004847,36.02522615,175.1078453
monodon,1.947682048,14.88786941,56.21358017,169.5174884
monodon,5.06442028,19.63756205,33.22020981,200.5311715
monodon,3.378081632,19.43630963,74.85888205,177.4516814
monodon,0.613484931,19.98952876,49.24917409,214.1149249
monodon,0.336018315,14.16535689,60.34278031,188.8326208
monodon,1.087373619,18.81095062,47.73884913,172.4040529
monodon,4.506472711,15.43865346,83.03391596,141.1036537
monodon,3.922712318,15.5886634,49.1224338,178.6618508
monodon,0.467545268,25.14355786,69.50282065,169.4341874
monodon,1.494502289,14.58376191,116.2969657,142.08024
monodon,5.292354503,17.99065581,83.97613789,146.2936656
monodon,3.5976964,14.3118772,71.31493155,134.0063781
monodon,3.106804373,19.2471368,58.43845205,149.591467
monodon,5.891498615,13.49717005,55.64339411,145.4050554
monodon,1.36787867,16.39758796,74.90475302,150.4073156
monodon,1.40651197,17.78544849,72.95433244,172.5819389
monodon,6.469474918,10.96292078,243.6194859,146.4865458
monodon,2.924942625,14.09794582,38.6093742,163.0953942
monodon,3.729930817,20.68752241,34.78032995,180.787409
monodon,0.579820577,19.27575422,86.99931008,182.8330932
monodon,4.492799861,22.23046184,95.07726034,166.2167996
monodon,6.00911762,9.471240161,37.91477111,178.2874369
monodon,5.21234306,8.281988881,93.99558797,228.9236586
monodon,1.687784944,21.60398011,62.86948557,154.1412206
monodon,1.651129936,14.171377,52.18012938,162.1418421
monodon,1.48937309,25.3552179,73.99464086,184.2726174
monodon,2.951062048,19.33304224,108.6917683,199.9203964
monodon,2.735823178,12.64683462,52.03883432,185.5752098
monodon,2.605999936,15.64344182,97.677913,182.1405466
monodon,4.542578184,16.65383784,80.88960929,119.1201095
